symbol,yahoo_symbol,company_name,isin,isin_valid,segment,exchange,listing_series,current_series,surveillance_band,surveillance_remarks,listing_date,face_value,paidup_value,market_lot,etf_underlying,previous_symbol,symbol_change_date,previous_company_name,name_change_date,nifty_industry,in_nifty50,in_nifty_next50,in_nifty100,in_nifty200,in_nifty500,data_sources,pipeline_run_at
NAHARINDUS,NAHARINDUS.NS,Nahar Industrial Enterprises Limited,INE289A01011,True,EQUITY,NSE,EQ,EQ,20,-,2005-12-15,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NAHARPOLY,NAHARPOLY.NS,Nahar Poly Films Limited,INE308A01027,True,EQUITY,NSE,EQ,EQ,20,-,2007-03-23,5.0,5.0,1.0,,NAHARINVST,2011-06-15,Nahar Investments and Holding Limited,2011-06-15,,False,False,False,False,False,EQUITY_L;sec_list;symbolchange;namechange,2026-07-06T15:21:16+00:00
NAHARSPING,NAHARSPING.NS,Nahar Spinning Mills Limited,INE290A01027,True,EQUITY,NSE,BE,BE,5,-,2007-03-23,5.0,5.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NAM-INDIA,NAM-INDIA.NS,Nippon Life India Asset Management Limited,INE298J01013,True,EQUITY,NSE,EQ,EQ,No Band,-,2017-11-06,10.0,10.0,1.0,,RNAM,2020-01-23,Reliance Nippon Life Asset Management Limited,2020-01-23,Financial Services,False,False,False,False,True,EQUITY_L;sec_list;symbolchange;namechange;nifty500,2026-07-06T15:21:16+00:00
NARMADA,NARMADA.NS,Narmada Agrobase Limited,INE117Z01011,True,EQUITY,NSE,EQ,EQ,20,-,2022-10-27,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NATCAPSUQ,NATCAPSUQ.NS,Natural Capsules Limited,INE936B01015,True,EQUITY,NSE,EQ,EQ,20,-,2025-02-14,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NATCOPHARM,NATCOPHARM.NS,Natco Pharma Limited,INE987B01026,True,EQUITY,NSE,EQ,EQ,20,-,1995-12-27,2.0,2.0,1.0,,,,,,Healthcare,False,False,False,False,True,EQUITY_L;sec_list;nifty500,2026-07-06T15:21:16+00:00
NATHBIOGEN,NATHBIOGEN.NS,Nath Bio-Genes (India) Limited,INE448G01010,True,EQUITY,NSE,EQ,EQ,20,-,2014-01-28,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NATIONALUM,NATIONALUM.NS,National Aluminium Company Limited,INE139A01034,True,EQUITY,NSE,EQ,EQ,No Band,-,1999-04-28,5.0,5.0,1.0,,,,,,Metals & Mining,False,False,False,True,True,EQUITY_L;sec_list;nifty200;nifty500,2026-07-06T15:21:16+00:00
NATIONSTD,NATIONSTD.NS,National Standard (India) Limited,INE166R01015,True,EQUITY,NSE,EQ,EQ,10,-,2026-04-20,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NAUKRI,NAUKRI.NS,Info Edge (India) Limited,INE663F01032,True,EQUITY,NSE,EQ,EQ,No Band,-,2006-11-21,2.0,2.0,1.0,,,,,,Consumer Services,False,False,False,True,True,EQUITY_L;sec_list;nifty200;nifty500,2026-07-06T15:21:16+00:00
NAVA,NAVA.NS,NAVA LIMITED,INE725A01030,True,EQUITY,NSE,EQ,EQ,20,-,1996-04-03,1.0,1.0,1.0,,NBVENTURES,2022-07-29,Nava Bharat Ventures Limited,2022-07-29,Power,False,False,False,False,True,EQUITY_L;sec_list;symbolchange;namechange;nifty500,2026-07-06T15:21:16+00:00
NAVINFLUOR,NAVINFLUOR.NS,Navin Fluorine International Limited,INE048G01026,True,EQUITY,NSE,EQ,EQ,20,-,2007-06-01,2.0,2.0,1.0,,,,,,Chemicals,False,False,False,False,True,EQUITY_L;sec_list;nifty500,2026-07-06T15:21:16+00:00
NAVKARCORP,NAVKARCORP.NS,Navkar Corporation Limited,INE278M01019,True,EQUITY,NSE,EQ,EQ,20,-,2015-09-09,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NAVKARURB,NAVKARURB.NS,Navkar Urbanstructure Limited,INE268H01044,True,EQUITY,NSE,BE,BE,5,-,2025-01-17,1.0,1.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NAVNETEDUL,NAVNETEDUL.NS,Navneet Education Limited,INE060A01024,True,EQUITY,NSE,EQ,EQ,20,-,1995-02-08,2.0,2.0,1.0,,NAVNETPUBL,2013-09-19,Navneet Publications India Limited,2013-09-19,,False,False,False,False,False,EQUITY_L;sec_list;symbolchange;namechange,2026-07-06T15:21:16+00:00
NAZARA,NAZARA.NS,Nazara Technologies Limited,INE418L01047,True,EQUITY,NSE,EQ,EQ,20,-,2021-03-30,2.0,2.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NBCC,NBCC.NS,NBCC (India) Limited,INE095N01031,True,EQUITY,NSE,EQ,EQ,No Band,-,2012-04-12,1.0,1.0,1.0,,,,National Buildings Construction Corporation Limited,2016-06-07,Construction,False,False,False,False,True,EQUITY_L;sec_list;namechange;nifty500,2026-07-06T15:21:16+00:00
NBIFIN,NBIFIN.NS,N. B. I. Industrial Finance Company Limited,INE365I01020,True,EQUITY,NSE,EQ,EQ,20,-,2016-11-23,5.0,5.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NCC,NCC.NS,NCC Limited,INE868B01028,True,EQUITY,NSE,EQ,EQ,20,-,2003-10-14,2.0,2.0,1.0,,NAGARCONST,2011-03-15,Nagarjuna Construction Company Limited,2011-03-15,Construction,False,False,False,False,True,EQUITY_L;sec_list;symbolchange;namechange;nifty500,2026-07-06T15:21:16+00:00
NCLIND,NCLIND.NS,NCL Industries Limited,INE732C01016,True,EQUITY,NSE,EQ,EQ,20,-,2007-04-03,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NDGL,NDGL.NS,Naga Dhunseri Group Limited,INE756C01015,True,EQUITY,NSE,EQ,EQ,20,-,2016-08-29,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NDL,NDL.NS,Nandan Denim Limited,INE875G01048,True,EQUITY,NSE,EQ,EQ,20,-,2012-03-23,1.0,1.0,1.0,,NANDANEXIM,2013-11-21,Nandan Exim Limited,2013-11-21,,False,False,False,False,False,EQUITY_L;sec_list;symbolchange;namechange,2026-07-06T15:21:16+00:00
NDLVENTURE,NDLVENTURE.NS,NDL Ventures Limited,INE353A01023,True,EQUITY,NSE,EQ,EQ,20,-,2007-04-24,10.0,10.0,1.0,,NXTDIGITAL,2023-05-09,NXTDIGITAL LIMITED,2023-05-09,,False,False,False,False,False,EQUITY_L;sec_list;symbolchange;namechange,2026-07-06T15:21:16+00:00
NDRAUTO,NDRAUTO.NS,Ndr Auto Components Limited,INE07OG01012,True,EQUITY,NSE,EQ,EQ,20,-,2020-07-30,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NDTV,NDTV.NS,New Delhi Television Limited,INE155G01029,True,EQUITY,NSE,EQ,EQ,20,-,2004-05-19,4.0,4.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NEAGI,NEAGI.NS,Neelamalai Agro Industries Limited,INE605D01012,True,EQUITY,NSE,EQ,EQ,5,-,2026-04-20,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NECCLTD,NECCLTD.NS,North Eastern Carrying Corporation Limited,INE553C01016,True,EQUITY,NSE,BE,BE,5,-,2016-03-02,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NECLIFE,NECLIFE.NS,Nectar Lifesciences Limited,INE023H01027,True,EQUITY,NSE,BE,BE,5,-,2005-07-18,1.0,1.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NELCAST,NELCAST.NS,Nelcast Limited,INE189I01024,True,EQUITY,NSE,EQ,EQ,20,-,2007-06-27,2.0,2.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NELCO,NELCO.NS,NELCO Limited,INE045B01015,True,EQUITY,NSE,EQ,EQ,20,-,2003-05-28,10.0,10.0,1.0,,,,National Radio & Electric Co. Ltd,2001-03-14,,False,False,False,False,False,EQUITY_L;sec_list;namechange,2026-07-06T15:21:16+00:00
NEOGEN,NEOGEN.NS,Neogen Chemicals Limited,INE136S01016,True,EQUITY,NSE,EQ,EQ,20,-,2019-05-08,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NEPHROPLUS,NEPHROPLUS.NS,Nephrocare Health Services Limited,INE428V01029,True,EQUITY,NSE,EQ,EQ,20,-,2025-12-17,2.0,2.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NESCO,NESCO.NS,Nesco Limited,INE317F01035,True,EQUITY,NSE,EQ,EQ,20,-,2008-04-08,2.0,2.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NESTLEIND,NESTLEIND.NS,Nestle India Limited,INE239A01024,True,EQUITY,NSE,EQ,EQ,No Band,-,2023-08-01,1.0,1.0,1.0,,,,,,Fast Moving Consumer Goods,True,False,True,True,True,EQUITY_L;sec_list;nifty50;nifty100;nifty200;nifty500,2026-07-06T15:21:16+00:00
NETF,NETF.NS,TATAAML-NETF,INF277K015R5,True,ETF,NSE,,EQ,20,-,2019-01-04,10.0,,1.0,TataNifty50ExchangeTradedFund,,,Tata Nifty Exchange Traded Fund,2024-04-16,,False,False,False,False,False,eq_etfseclist;sec_list;namechange,2026-07-06T15:21:16+00:00
NETWEB,NETWEB.NS,Netweb Technologies India Limited,INE0NT901020,True,EQUITY,NSE,EQ,EQ,20,-,2023-07-27,2.0,2.0,1.0,,,,,,Information Technology,False,False,False,False,True,EQUITY_L;sec_list;nifty500,2026-07-06T15:21:16+00:00
